date,value
01/01/2001,4.585809799
02/01/2001,4.628804683
03/01/2001,4.600134621
04/01/2001,4.327244418
05/01/2001,3.427910828
06/01/2001,3.81213543
07/01/2001,4.429053302
08/01/2001,3.757341116
09/01/2001,4.092896799
10/01/2001,6.55908659
11/01/2001,3.998011171
12/01/2001,3.85655761
13/01/2001,3.050362985
14/01/2001,3.092324274
15/01/2001,3.145903273
16/01/2001,3.16203116
17/01/2001,3.04068866
18/01/2001,3.136317998
19/01/2001,2.953508827
20/01/2001,2.963039356
21/01/2001,2.34434606
22/01/2001,2.71022935
23/01/2001,2.511237283
24/01/2001,2.55739001
25/01/2001,2.520393711
26/01/2001,2.472617307
27/01/2001,1.456678971
28/01/2001,2.43886889
29/01/2001,2.302939756
30/01/2001,2.188903922
31/01/2001,2.047983193
01/02/2001,2.166812356
02/02/2001,2.191987706
03/02/2001,2.066863419
04/02/2001,2.029823882
05/02/2001,1.991943869
06/02/2001,1.556668771
07/02/2001,1.838469804
08/02/2001,1.615670934
09/02/2001,1.764638904
10/02/2001,1.778770594
11/02/2001,1.786106328
12/02/2001,1.776692718
13/02/2001,1.862014309
14/02/2001,1.65865908
15/02/2001,1.378879523
16/02/2001,1.588159993
17/02/2001,1.566148695
18/02/2001,1.548883487
19/02/2001,1.356886237
20/02/2001,1.530586335
21/02/2001,1.413562788
22/02/2001,1.043239755
23/02/2001,1.341946895
24/02/2001,1.138050896
25/02/2001,1.268237732
26/02/2001,1.240820269
27/02/2001,1.331399457
28/02/2001,1.249572576
01/03/2001,1.371922223
02/03/2001,1.198324961
03/03/2001,0.985711845
04/03/2001,1.185359968
05/03/2001,1.058685502
06/03/2001,1.131629365
07/03/2001,1.155640454
08/03/2001,1.214843367
09/03/2001,0.895895664
10/03/2001,0.983954777
11/03/2001,1.084496405
12/03/2001,0.900578546
13/03/2001,1.087860019
14/03/2001,0.978739188
15/03/2001,1.112156611
16/03/2001,1.037318662
17/03/2001,1.220528275
18/03/2001,0.981228326
19/03/2001,0.750475659
20/03/2001,0.928503005
21/03/2001,0.93145564
22/03/2001,0.941473925
23/03/2001,0.902952336
24/03/2001,1.24289636
25/03/2001,0.935102255
26/03/2001,0.599927082
27/03/2001,0.911620489
28/03/2001,0.781105301
29/03/2001,0.910260751
30/03/2001,0.868439648
31/03/2001,0.908762565
01/04/2001,0.859023394
02/04/2001,1.072080845
03/04/2001,1.072975517
04/04/2001,1.035875813
05/04/2001,0.815244362
06/04/2001,0.762729348
07/04/2001,0.938867011
08/04/2001,0.829486857
09/04/2001,1.035368908
10/04/2001,1.10047998
11/04/2001,0.57721272
12/04/2001,0.67405491
13/04/2001,0.857523151
14/04/2001,0.932181556
15/04/2001,0.918864743
16/04/2001,0.904696349
17/04/2001,0.79843924
18/04/2001,1.207760723
19/04/2001,0.848577128
20/04/2001,0.673822673
21/04/2001,1.236310142
22/04/2001,2.59176732
23/04/2001,3.767637343
24/04/2001,7.543448655
25/04/2001,9.462492799
26/04/2001,13.5440786
27/04/2001,14.17505791
28/04/2001,18.76841259
29/04/2001,13.07008377
30/04/2001,12.15431511
01/05/2001,10.58371018
02/05/2001,11.20168332
03/05/2001,8.875755934
04/05/2001,8.564983518
05/05/2001,5.759969064
06/05/2001,6.208228514
07/05/2001,4.564799213
08/05/2001,4.141043628
09/05/2001,3.032855134
10/05/2001,2.200195874
11/05/2001,2.153760841
12/05/2001,2.063816818
13/05/2001,2.418358009
14/05/2001,2.698993951
15/05/2001,4.73168406
16/05/2001,5.912522995
17/05/2001,6.809815678
18/05/2001,21.2626222
19/05/2001,21.13197751
20/05/2001,21.25276641
21/05/2001,21.25276641
22/05/2001,20.86735941
23/05/2001,20.86735941
24/05/2001,47.69885306
25/05/2001,50
26/05/2001,8.648009395
27/05/2001,12.59068328
28/05/2001,11.82203755
29/05/2001,12.16659039
30/05/2001,21.88378766
31/05/2001,23.42677723
01/06/2001,23.24757773
02/06/2001,23.9168061
03/06/2001,23.06390701
04/06/2001,22.15240992
05/06/2001,23.29300807
06/06/2001,20.42300012
07/06/2001,20.19197614
08/06/2001,20.57915421
09/06/2001,18.15124412
10/06/2001,17.39036152
11/06/2001,16.86699581
12/06/2001,16.90671885
13/06/2001,14.61113365
14/06/2001,14.48877595
15/06/2001,15.12263646
03/07/2001,18.30907356
04/07/2001,18.28816945
05/07/2001,18.35620849
06/07/2001,19.82669076
07/07/2001,19.84412393
08/07/2001,19.84412393
09/07/2001,19.84412393
10/07/2001,27.9506225
11/07/2001,29.54275299
12/07/2001,29.58385346
13/07/2001,29.58385346
14/07/2001,30.65614339
15/07/2001,28.56751548
16/07/2001,30.31733044
17/07/2001,29.0724294
18/07/2001,28.82816219
19/07/2001,28.8309579
20/07/2001,26.06077576
21/07/2001,34.53173428
22/07/2001,34.63853922
23/07/2001,33.79930372
24/07/2001,33.64495635
25/07/2001,35.28596889
26/07/2001,33.9600409
27/07/2001,33.30702941
28/07/2001,34.19602932
29/07/2001,34.4149484
30/07/2001,33.020381
31/07/2001,31.76365397
01/08/2001,30.60529298
02/08/2001,27.9911183
03/08/2001,27.95451212
04/08/2001,27.33274609
05/08/2001,26.80533059
06/08/2001,26.92135556
07/08/2001,27.40146908
08/08/2001,26.97721433
09/08/2001,25.72654633
10/08/2001,25.88712261
11/08/2001,25.79158713
12/08/2001,26.37620809
13/08/2001,26.0766734
14/08/2001,25.46183444
15/08/2001,26.26588488
16/08/2001,26.5599898
17/08/2001,25.76454369
18/08/2001,25.71489572
19/08/2001,28.9193628
20/08/2001,25.68313509
21/08/2001,23.94424295
22/08/2001,23.67514608
23/08/2001,23.04482305
24/08/2001,26.209921
25/08/2001,24.88337001
26/08/2001,24.12957286
27/08/2001,26.29745595
28/08/2001,24.71825469
29/08/2001,34.08850015
30/08/2001,34.22956461
31/08/2001,33.50890893
01/09/2001,32.81383933
02/09/2001,35.01979874
03/09/2001,32.7824912
04/09/2001,32.3695925
05/09/2001,31.60630834
06/09/2001,30.8838325
07/09/2001,30.77872741
08/09/2001,29.38170243
09/09/2001,29.19920727
10/09/2001,27.20090447
11/09/2001,25.95582751
12/09/2001,26.16339539
13/09/2001,24.69231971
14/09/2001,25.15587457
15/09/2001,23.76532738
16/09/2001,24.08374535
17/09/2001,23.04583612
18/09/2001,23.31867909
19/09/2001,23.32245514
20/09/2001,22.29618379
21/09/2001,22.49527497
22/09/2001,21.41233049
23/09/2001,21.03756209
24/09/2001,20.21267062
25/09/2001,21.07397143
26/09/2001,20.07625067
27/09/2001,20.53907361
28/09/2001,20.86284374
29/09/2001,20.55121613
30/09/2001,20.26318271
01/10/2001,19.73068868
02/10/2001,19.995128
03/10/2001,20.24212149
04/10/2001,19.57673974
05/10/2001,20.58215816
06/10/2001,20.10872113
07/10/2001,22.63190149
08/10/2001,19.67823776
09/10/2001,19.4433946
10/10/2001,18.20600435
11/10/2001,18.32989722
12/10/2001,17.62145923
13/10/2001,17.33588444
14/10/2001,17.14443906
15/10/2001,16.98166277
16/10/2001,16.77376074
17/10/2001,16.68781596
18/10/2001,17.22067241
19/10/2001,16.32271699
20/10/2001,15.35074049
21/10/2001,15.21885563
