date,value
01/01/2001,2.727291308
02/01/2001,3.02507894
03/01/2001,2.654182195
04/01/2001,2.703519121
05/01/2001,2.186990535
06/01/2001,2.116060503
07/01/2001,2.772730966
08/01/2001,2.685011565
09/01/2001,2.627607699
10/01/2001,3.924708191
11/01/2001,2.799471593
12/01/2001,2.430617765
13/01/2001,2.205193161
14/01/2001,1.847816414
15/01/2001,2.169520807
16/01/2001,2.03578834
17/01/2001,2.055815025
18/01/2001,2.131873203
19/01/2001,1.863760267
20/01/2001,1.871233114
21/01/2001,1.46237144
22/01/2001,1.82781017
23/01/2001,1.638217305
24/01/2001,1.699448498
25/01/2001,1.797301724
26/01/2001,1.60271151
27/01/2001,1.155932243
28/01/2001,1.276760684
29/01/2001,1.567921487
30/01/2001,1.484793106
31/01/2001,1.396430311
01/02/2001,1.492589763
02/02/2001,1.459347649
03/02/2001,1.517003781
04/02/2001,1.122810832
05/02/2001,1.417335145
06/02/2001,1.062394002
07/02/2001,1.34806884
08/02/2001,0.939612155
09/02/2001,1.055090793
10/02/2001,1.122512224
11/02/2001,1.097630711
12/02/2001,1.162885012
13/02/2001,1.001707558
14/02/2001,1.009257122
15/02/2001,0.900866729
16/02/2001,1.053340175
17/02/2001,0.819482592
18/02/2001,0.836237923
19/02/2001,0.718650348
20/02/2001,0.682313002
21/02/2001,0.779204401
22/02/2001,0.783032844
23/02/2001,0.752077156
24/02/2001,0.640046849
25/02/2001,0.700887408
26/02/2001,0.644964155
27/02/2001,0.683321882
28/02/2001,0.634437231
01/03/2001,0.451681324
02/03/2001,0.611718332
03/03/2001,0.478594642
04/03/2001,0.559896722
05/03/2001,0.603054082
06/03/2001,0.584488181
07/03/2001,0.533449876
08/03/2001,0.475715855
09/03/2001,0.291703223
10/03/2001,0.511856473
11/03/2001,0.57140966
12/03/2001,0.474942957
13/03/2001,0.49524116
14/03/2001,0.540353746
15/03/2001,0.36454483
16/03/2001,0.555040486
17/03/2001,0.4015139
18/03/2001,0.426993708
19/03/2001,0.43057138
20/03/2001,0.459779904
21/03/2001,0.646737949
22/03/2001,0.46834699
23/03/2001,0.480429635
24/03/2001,0.541994625
25/03/2001,0.441485521
26/03/2001,0.433442297
27/03/2001,0.440077463
28/03/2001,0.43403868
29/03/2001,0.361004279
30/03/2001,0.424865093
31/03/2001,0.60127282
01/04/2001,0.369728868
02/04/2001,0.410139037
03/04/2001,1.127590217
04/04/2001,1.34555513
05/04/2001,0.359306096
06/04/2001,0.38960158
07/04/2001,0.399401628
08/04/2001,0.366278066
09/04/2001,0.285168016
10/04/2001,0.346760239
11/04/2001,0.393232967
12/04/2001,0.377967986
13/04/2001,0.688042347
14/04/2001,0.421782985
15/04/2001,2.614418574
16/04/2001,0.265239739
17/04/2001,0.566530539
18/04/2001,0.256326615
19/04/2001,0.904374576
20/04/2001,0.595437407
21/04/2001,0.48227401
22/04/2001,1.410185835
23/04/2001,2.54071396
24/04/2001,3.373126553
25/04/2001,4.237564057
26/04/2001,5.782794072
27/04/2001,8.745272987
28/04/2001,10.15341352
29/04/2001,7.562364671
30/04/2001,7.073187101
01/05/2001,6.184445378
02/05/2001,9.332816801
03/05/2001,5.018450853
04/05/2001,4.865923599
05/05/2001,4.763200892
06/05/2001,4.018502189
07/05/2001,2.423235676
08/05/2001,1.919201191
09/05/2001,1.46429815
10/05/2001,0.563059
11/05/2001,0.766050429
12/05/2001,0.957447906
13/05/2001,1.301296266
14/05/2001,1.557185923
15/05/2001,2.205669862
16/05/2001,3.434180186
17/05/2001,3.852544171
18/05/2001,18.07640056
19/05/2001,18.15649109
20/05/2001,18.31265991
21/05/2001,18.31265991
22/05/2001,17.23632221
23/05/2001,17.23632221
24/05/2001,20.68088996
25/05/2001,20.68088996
26/05/2001,7.39552513
27/05/2001,12.39326274
28/05/2001,10.02272533
29/05/2001,10.02272533
30/05/2001,13.98188945
31/05/2001,15.30532519
01/06/2001,15.19109686
02/06/2001,15.8396233
03/06/2001,15.78528509
04/06/2001,15.88468177
05/06/2001,15.92827548
06/06/2001,14.58301849
07/06/2001,15.35828318
08/06/2001,14.78504974
09/06/2001,12.67470666
10/06/2001,14.04575888
11/06/2001,13.74499177
12/06/2001,13.74499177
13/06/2001,11.04981981
14/06/2001,11.04981981
15/06/2001,21.81172475
03/07/2001,9.295969952
04/07/2001,9.42654972
05/07/2001,9.247224684
06/07/2001,9.21397416
07/07/2001,9.295808659
08/07/2001,9.295808659
09/07/2001,9.295808659
10/07/2001,11.36384707
11/07/2001,15.03198715
12/07/2001,15.72159901
13/07/2001,15.72159901
14/07/2001,16.17030608
15/07/2001,15.27289196
16/07/2001,15.70412342
17/07/2001,15.35446437
18/07/2001,15.35446437
19/07/2001,15.60230346
20/07/2001,11.13131308
21/07/2001,28.46922718
22/07/2001,25.51677983
23/07/2001,25.43585693
24/07/2001,26.3542599
25/07/2001,27.94772781
26/07/2001,25.54315715
27/07/2001,25.4639274
28/07/2001,26.47890635
29/07/2001,25.63123684
30/07/2001,23.62613173
31/07/2001,19.00113798
01/08/2001,17.32890716
02/08/2001,16.54463889
03/08/2001,16.44460199
04/08/2001,17.67305888
05/08/2001,15.68666993
06/08/2001,18.87191653
07/08/2001,18.23443437
08/08/2001,18.65916537
09/08/2001,17.13020468
10/08/2001,17.90594265
11/08/2001,17.08694761
12/08/2001,16.69321272
13/08/2001,19.34160458
14/08/2001,19.08913007
15/08/2001,20.31924267
16/08/2001,17.31737666
17/08/2001,17.97919401
18/08/2001,17.95198411
19/08/2001,19.68413392
20/08/2001,17.06546675
21/08/2001,16.85836061
22/08/2001,17.33009285
23/08/2001,15.77670316
24/08/2001,16.82549662
25/08/2001,15.55084526
26/08/2001,15.54455127
27/08/2001,16.78394458
28/08/2001,12.58720354
29/08/2001,29.00699471
30/08/2001,28.65671629
31/08/2001,29.03374297
01/09/2001,26.20828931
02/09/2001,25.30320234
03/09/2001,24.17919363
04/09/2001,23.89076806
05/09/2001,22.38612406
06/09/2001,20.51052845
07/09/2001,20.52184664
08/09/2001,19.91911833
09/09/2001,19.49780183
10/09/2001,18.01802184
11/09/2001,17.68601952
12/09/2001,17.9150355
13/09/2001,17.43901245
14/09/2001,17.20231027
15/09/2001,16.75450741
16/09/2001,17.90139537
17/09/2001,16.23156984
18/09/2001,16.79786102
19/09/2001,16.61903058
20/09/2001,15.95166535
21/09/2001,16.38614759
22/09/2001,15.34760931
23/09/2001,15.37719948
24/09/2001,14.79330235
25/09/2001,16.19428164
26/09/2001,14.07871951
27/09/2001,14.67849247
28/09/2001,15.36584677
29/09/2001,14.35974107
30/09/2001,15.39729247
01/10/2001,14.61273683
02/10/2001,14.60289742
03/10/2001,14.12662671
04/10/2001,14.71912894
05/10/2001,14.50235144
06/10/2001,14.22908319
07/10/2001,14.56817848
08/10/2001,14.0464546
09/10/2001,12.96930413
10/10/2001,12.11102159
11/10/2001,12.45086798
12/10/2001,12.36526235
13/10/2001,11.53668133
14/10/2001,12.29432517
15/10/2001,12.34630169
16/10/2001,11.75860014
17/10/2001,11.90317523
18/10/2001,12.95260984
19/10/2001,11.61326348
20/10/2001,10.55943024
21/10/2001,10.3877433
22/10/2001,10.91237858
23/10/2001,10.97410263
24/10/2001,10.49628013
25/10/2001,10.18072619
26/10/2001,9.863125862
27/10/2001,9.698694264
28/10/2001,9.128371618
29/10/2001,9.234411009
30/10/2001,8.808378816
31/10/2001,8.980599323
01/11/2001,9.114748241
02/11/2001,8.931833987
03/11/2001,8.393240815
04/11/2001,8.209534331
05/11/2001,7.462111007
06/11/2001,7.41908472
07/11/2001,7.084894977
08/11/2001,5.412550717
09/11/2001,5.545628303
10/11/2001,6.351759138
11/11/2001,6.383243673
12/11/2001,6.60021635
13/11/2001,6.760777897
14/11/2001,6.272341416
15/11/2001,6.591060846
16/11/2001,6.96872053
17/11/2001,6.994520615
18/11/2001,6.968078362
19/11/2001,6.380072035
20/11/2001,6.393697491
21/11/2001,5.202043842
22/11/2001,5.849275702
23/11/2001,5.989023972
24/11/2001,6.037539347
25/11/2001,5.880439489
26/11/2001,5.875452894
27/11/2001,5.901041662
28/11/2001,6.217751735
29/11/2001,5.53130308
30/11/2001,4.562541104
01/12/2001,4.363201049
02/12/2001,4.330844169
03/12/2001,4.605390068
04/12/2001,4.686705629
05/12/2001,4.614152306
06/12/2001,4.400279952
07/12/2001,3.484708886
08/12/2001,4.145963268
09/12/2001,3.720245389
10/12/2001,3.76834999
11/12/2001,3.719442082
12/12/2001,3.736860793
13/12/2001,3.478907165
14/12/2001,3.714293287
15/12/2001,3.026925473
16/12/2001,2.636606406
17/12/2001,2.764884121
18/12/2001,2.001773651
19/12/2001,2.356382294
20/12/2001,2.354419456
21/12/2001,1.558996148
22/12/2001,2.38947853
23/12/2001,1.569338738
24/12/2001,2.31060213
25/12/2001,2.088110985
26/12/2001,1.888502948
27/12/2001,2.057900982
28/12/2001,1.941044307
29/12/2001,2.021877663
30/12/2001,1.731866979
31/12/2001,1.810190122
01/01/2002,2.887985596
02/01/2002,0.682107322
03/01/2002,1.646091588
04/01/2002,1.581210419
05/01/2002,1.730110867
06/01/2002,1.297359274
07/01/2002,1.594702789
08/01/2002,0.950708419
09/01/2002,1.482241685
10/01/2002,1.107234957
11/01/2002,1.249288541
12/01/2002,1.259162688
13/01/2002,1.07526012
14/01/2002,1.218839134
15/01/2002,0.895442745
16/01/2002,1.180841863
17/01/2002,0.957766732
18/01/2002,0.952248826
19/01/2002,1.040581132
20/01/2002,0.848851902
21/01/2002,0.973442562
22/01/2002,0.738909569
23/01/2002,0.917012604
24/01/2002,0.685530981
25/01/2002,0.575357484
26/01/2002,0.674272196
27/01/2002,0.809796183
28/01/2002,0.790104425
29/01/2002,0.650671753
30/01/2002,1.013673993
31/01/2002,0.522646164
01/02/2002,0.863175844
02/02/2002,3.680678594
03/02/2002,0.751188331
04/02/2002,0.819141941
05/02/2002,0.592406729
06/02/2002,0.997874104
07/02/2002,0.479273027
08/02/2002,0.402219585
09/02/2002,0.485984397
10/02/2002,0.594224453
11/02/2002,0.554736082
12/02/2002,0.481809722
13/02/2002,0.523017247
14/02/2002,0.452059362
15/02/2002,0.513051176
16/02/2002,0.372966658
17/02/2002,0.484320326
18/02/2002,0.441999554
19/02/2002,0.475486828
20/02/2002,0.46780675
21/02/2002,0.338219526
22/02/2002,0.434244514
23/02/2002,0.332747719
24/02/2002,0.477803193
25/02/2002,0.353444252
26/02/2002,0.437774908
27/02/2002,0.449355263
28/02/2002,0.542617328
01/03/2002,0.656157502
02/03/2002,0.366429957
03/03/2002,0.416207406
04/03/2002,0.327903356
05/03/2002,0.432366152
06/03/2002,0.457524128
07/03/2002,0.345010347
08/03/2002,0.418173464
09/03/2002,0.320771619
