date,value
01/01/2001,4.593851744
02/01/2001,4.705252008
03/01/2001,4.728262158
04/01/2001,4.456945136
05/01/2001,3.483329663
06/01/2001,3.787770285
07/01/2001,4.576075092
08/01/2001,4.461872567
09/01/2001,4.308176002
10/01/2001,6.151842138
11/01/2001,4.52086935
12/01/2001,4.377670117
13/01/2001,3.38174572
14/01/2001,3.581029278
15/01/2001,3.405553956
16/01/2001,3.521252757
17/01/2001,3.329773846
18/01/2001,3.488293168
19/01/2001,2.940732739
20/01/2001,3.200685132
21/01/2001,2.791546937
22/01/2001,2.956970467
23/01/2001,2.926060994
24/01/2001,2.711708705
25/01/2001,2.893515423
26/01/2001,2.513822777
27/01/2001,2.213008718
28/01/2001,2.470404689
29/01/2001,2.543410185
30/01/2001,2.502089472
31/01/2001,2.388535201
01/02/2001,2.628403792
02/02/2001,2.25786654
03/02/2001,2.441162754
04/02/2001,2.056913929
05/02/2001,2.274723883
06/02/2001,1.761843638
07/02/2001,1.974429133
08/02/2001,1.810849804
09/02/2001,1.74755664
10/02/2001,1.952398275
11/02/2001,1.550837667
12/02/2001,1.805427968
13/02/2001,1.578925347
14/02/2001,1.742106534
15/02/2001,1.537839373
16/02/2001,1.462590416
17/02/2001,1.521418385
18/02/2001,1.305513865
19/02/2001,1.439319463
20/02/2001,1.179790964
21/02/2001,1.251929853
22/02/2001,1.102890843
23/02/2001,1.108965324
24/02/2001,1.164148987
25/02/2001,1.00579337
26/02/2001,1.136475907
27/02/2001,0.920481764
28/02/2001,1.059154485
01/03/2001,0.861296224
02/03/2001,0.993083106
03/03/2001,0.886939469
04/03/2001,0.858280961
05/03/2001,0.645394092
06/03/2001,0.76015449
07/03/2001,0.888903633
08/03/2001,0.829131164
09/03/2001,0.796862318
10/03/2001,0.532377837
11/03/2001,0.76371521
12/03/2001,0.726464291
13/03/2001,0.628743245
14/03/2001,0.740594305
15/03/2001,0.671355005
16/03/2001,0.669499603
17/03/2001,0.57278302
18/03/2001,0.594955848
19/03/2001,0.552918929
20/03/2001,0.570206495
21/03/2001,0.545449478
22/03/2001,0.615476744
23/03/2001,0.611234833
24/03/2001,0.806861962
25/03/2001,0.662782682
26/03/2001,0.611244135
27/03/2001,0.576488151
28/03/2001,0.584605404
29/03/2001,0.500574255
30/03/2001,0.605555671
31/03/2001,0.59893217
01/04/2001,0.577864753
02/04/2001,0.491975675
03/04/2001,0.603510307
04/04/2001,0.809595359
05/04/2001,0.518091272
06/04/2001,0.492328796
07/04/2001,0.493571392
08/04/2001,0.536211524
09/04/2001,0.483764161
10/04/2001,0.879391115
11/04/2001,0.448269818
12/04/2001,0.473093984
13/04/2001,0.620902007
14/04/2001,0.931476574
15/04/2001,0.915714518
16/04/2001,0.76663132
17/04/2001,0.749889468
18/04/2001,1.726199497
19/04/2001,0.998703287
20/04/2001,1.087707072
21/04/2001,1.584956148
22/04/2001,2.356444323
23/04/2001,3.920629268
24/04/2001,5.235473285
25/04/2001,6.963020318
26/04/2001,11.0741844
27/04/2001,11.87111479
28/04/2001,13.21024156
29/04/2001,11.61181822
30/04/2001,10.77139124
01/05/2001,9.020797969
02/05/2001,9.324809698
03/05/2001,8.229899185
04/05/2001,8.149759039
05/05/2001,5.865471241
06/05/2001,5.610855082
07/05/2001,4.602491485
08/05/2001,4.084370456
09/05/2001,3.611122402
10/05/2001,2.463671691
11/05/2001,2.335854799
12/05/2001,2.243980364
13/05/2001,2.449802829
14/05/2001,6.843420705
15/05/2001,7.345492234
16/05/2001,8.738964263
17/05/2001,12.09263544
18/05/2001,31.71375761
19/05/2001,31.73511615
20/05/2001,31.73511615
21/05/2001,31.73511615
22/05/2001,31.04081797
23/05/2001,31.04081797
24/05/2001,41.05103031
25/05/2001,41.05103031
26/05/2001,15.59715398
27/05/2001,17.48935672
28/05/2001,19.30978057
29/05/2001,19.80568603
30/05/2001,34.31595969
31/05/2001,33.12679165
01/06/2001,32.33383023
02/06/2001,33.6284833
03/06/2001,36.77417801
04/06/2001,31.24823269
05/06/2001,31.27588348
06/06/2001,30.23934675
07/06/2001,30.69587349
08/06/2001,30.84104411
09/06/2001,23.65611831
10/06/2001,20.98002912
11/06/2001,14.65706254
12/06/2001,14.65706254
13/06/2001,13.55164589
14/06/2001,13.46235204
15/06/2001,10.04155883
03/07/2001,19.2959316
04/07/2001,19.27833411
05/07/2001,20.59507249
06/07/2001,25.36981352
07/07/2001,25.36981352
08/07/2001,25.36981352
09/07/2001,26.46080178
10/07/2001,40.57977163
11/07/2001,39.9128313
12/07/2001,39.9128313
13/07/2001,39.9128313
14/07/2001,41.05433975
15/07/2001,36.98274127
16/07/2001,38.53293128
17/07/2001,38.36635995
18/07/2001,38.32388788
19/07/2001,38.31011338
20/07/2001,35.78609286
21/07/2001,52.99573732
22/07/2001,54.00829969
23/07/2001,52.98310807
24/07/2001,52.48979505
25/07/2001,54.09411339
26/07/2001,52.9810025
27/07/2001,52.21821103
28/07/2001,52.46607049
29/07/2001,53.07478305
