date,value
01/01/2001,9.301973585
02/01/2001,8.997824905
03/01/2001,8.837773421
04/01/2001,8.201713954
05/01/2001,6.389939046
06/01/2001,7.234907905
07/01/2001,9.920481738
08/01/2001,7.46804039
09/01/2001,9.245634777
10/01/2001,21.95926866
11/01/2001,8.509152454
12/01/2001,7.073387108
13/01/2001,6.210612634
14/01/2001,5.078930764
15/01/2001,5.201223869
16/01/2001,4.834021761
17/01/2001,4.630099735
18/01/2001,4.483754719
19/01/2001,4.155035009
20/01/2001,4.283991387
21/01/2001,3.269227633
22/01/2001,3.715072604
23/01/2001,3.449075288
24/01/2001,3.241487966
25/01/2001,3.183844969
26/01/2001,3.009216011
27/01/2001,2.869615032
28/01/2001,2.801896426
29/01/2001,2.805955043
30/01/2001,2.815185686
31/01/2001,3.854499102
01/02/2001,2.646341396
02/02/2001,2.254650433
03/02/2001,2.113048165
04/02/2001,1.886052751
05/02/2001,1.878639815
06/02/2001,1.598543295
07/02/2001,1.644454196
08/02/2001,1.494476227
09/02/2001,1.381031645
10/02/2001,1.420054786
11/02/2001,1.326756273
12/02/2001,1.414446368
13/02/2001,1.35005018
14/02/2001,1.308290778
15/02/2001,1.209098291
16/02/2001,1.211213213
17/02/2001,1.148078314
18/02/2001,1.071782033
19/02/2001,1.01985924
20/02/2001,0.914039477
21/02/2001,0.994738021
22/02/2001,0.982178833
23/02/2001,0.941540003
24/02/2001,0.921370408
25/02/2001,0.877375658
26/02/2001,0.898346452
27/02/2001,0.847299162
28/02/2001,0.841287407
01/03/2001,0.830875087
02/03/2001,0.821456664
03/03/2001,0.814959973
04/03/2001,0.798801287
05/03/2001,0.781706
06/03/2001,0.718837695
07/03/2001,0.725291388
08/03/2001,0.759074677
09/03/2001,0.598412304
10/03/2001,0.578485382
11/03/2001,0.616416529
12/03/2001,0.425044119
13/03/2001,0.614255937
14/03/2001,0.593507178
15/03/2001,0.62488185
16/03/2001,0.58098281
17/03/2001,0.63045487
18/03/2001,0.60507826
19/03/2001,0.580109009
20/03/2001,0.741349928
21/03/2001,1.244890364
22/03/2001,1.423842185
23/03/2001,1.393803268
24/03/2001,4.427781261
25/03/2001,1.460771302
26/03/2001,1.170089379
27/03/2001,0.770630525
28/03/2001,0.795328023
29/03/2001,0.660127725
30/03/2001,0.631798788
31/03/2001,0.767006944
01/04/2001,0.567204506
02/04/2001,0.623321685
03/04/2001,0.860023303
04/04/2001,1.391023116
05/04/2001,0.548394419
06/04/2001,0.565229772
07/04/2001,0.54003214
08/04/2001,0.530061477
09/04/2001,0.561646597
10/04/2001,0.761816968
11/04/2001,0.601718595
12/04/2001,0.50193137
13/04/2001,0.766932989
14/04/2001,0.959285224
15/04/2001,1.681932632
16/04/2001,0.725930445
17/04/2001,0.692806451
18/04/2001,2.059279965
19/04/2001,1.192301998
20/04/2001,0.865870771
21/04/2001,1.314739337
22/04/2001,9.941204797
23/04/2001,13.26512636
24/04/2001,21.47739095
25/04/2001,35.35460907
26/04/2001,38.36597123
27/04/2001,40.83536196
28/04/2001,49.67949344
29/04/2001,39.23733169
30/04/2001,36.36138295
01/05/2001,31.78577331
02/05/2001,32.97024123
03/05/2001,27.67761118
04/05/2001,25.60839289
05/05/2001,20.62672135
06/05/2001,19.43500945
07/05/2001,15.66196089
08/05/2001,14.04695278
09/05/2001,11.34023419
10/05/2001,10.09858631
11/05/2001,9.77240559
12/05/2001,9.60356026
13/05/2001,13.00912196
